CS14_ENG_001	per:holds_shares_in	test0	bolt-eng-DF-170-181113-84603:83990-84106	Global Crossing	bolt-eng-DF-170-181113-84603:11752-11766	0.777317791314
CS14_ENG_002	gpe:births_in_city	test0	NYT_ENG_20090808.0110:2245-2298	Carleen Maley	NYT_ENG_20090808.0110:2245-2257	0.372615839251
CS14_ENG_002	gpe:births_in_city	test0	NYT_ENG_20090808.0110:2376-2388,NYT_ENG_20090808.0110:2376-2429,NYT_ENG_20090808.0110:2419-2429	Carleen Maley	NYT_ENG_20090808.0110:2376-2388	0.524727225669
CS14_ENG_002	gpe:births_in_city	test0	LTW_ENG_20090817.0007:3975-4020	Carleen Maley Hutchins	LTW_ENG_20090817.0007:3975-3996	0.332092466957
CS14_ENG_002	gpe:births_in_city	test0	LTW_ENG_20090817.0007:4141-4162,LTW_ENG_20090817.0007:4141-4186,LTW_ENG_20090817.0007:4176-4186	Carleen Maley Hutchins	LTW_ENG_20090817.0007:4141-4162	0.755842175482
CS14_ENG_002	gpe:births_in_city	test0	LTW_ENG_20090817.0007:4141-4193	Carleen Maley Hutchins	LTW_ENG_20090817.0007:4141-4162	0.593900591394
CS14_ENG_002	gpe:births_in_city	test0	NYT_ENG_20100918.0020:2850-2910	Donald Walter Davis	NYT_ENG_20100918.0020:2850-2868	0.691271734043
CS14_ENG_002	gpe:births_in_city	test0	NYT_ENG_20100918.0020:3009-3027,NYT_ENG_20100918.0020:3009-3069,NYT_ENG_20100918.0020:3059-3069	Donald Walter Davis	NYT_ENG_20100918.0020:3009-3027	0.917141991849
CS14_ENG_002	gpe:births_in_city	test0	NYT_ENG_20100918.0020:3009-3092	Donald Walter Davis	NYT_ENG_20100918.0020:3009-3027	0.507470208811
CS14_ENG_002	gpe:births_in_city	test0	NYT_ENG_20100730.0177:1308-1369	John David Alexander	NYT_ENG_20100730.0177:1308-1327	0.34585699664
CS14_ENG_002	gpe:births_in_city	test0	NYT_ENG_20100730.0177:1308-1327,NYT_ENG_20100730.0177:1308-1369,NYT_ENG_20100730.0177:1359-1369	John David Alexander	NYT_ENG_20100730.0177:1308-1327	0.00903311149666
CS14_ENG_002	gpe:births_in_city	test0	NYT_ENG_20100730.0177:1308-1407	John David Alexander	NYT_ENG_20100730.0177:1308-1327	0.00427044827903
