CS14_ENG_001	per:holds_shares_in	test7	LTW_ENG_20090603.0052:438-491	Democratic National Committee	LTW_ENG_20090603.0052:438-466	0.274884192408
CS14_ENG_002	gpe:births_in_city	test7	NYT_ENG_20090808.0110:2376-2429	Carleen Maley	NYT_ENG_20090808.0110:2376-2388	0.8100616822
CS14_ENG_002	gpe:births_in_city	test7	NYT_ENG_20090808.0110:2376-2462	Carleen Maley	NYT_ENG_20090808.0110:2376-2388	0.621147065818
CS14_ENG_002	gpe:births_in_city	test7	LTW_ENG_20090817.0007:3975-4020	Carleen Maley Hutchins	LTW_ENG_20090817.0007:3975-3996	0.403556317321
CS14_ENG_002	gpe:births_in_city	test7	LTW_ENG_20090817.0007:4141-4186	Carleen Maley Hutchins	LTW_ENG_20090817.0007:4141-4162	0.853762717778
CS14_ENG_002	gpe:births_in_city	test7	LTW_ENG_20090817.0007:4141-4162,LTW_ENG_20090817.0007:4141-4186,LTW_ENG_20090817.0007:4176-4186	Carleen Maley Hutchins	LTW_ENG_20090817.0007:4141-4162	0.634261509377
CS14_ENG_002	gpe:births_in_city	test7	NYT_ENG_20100918.0020:2850-2910	Donald Walter Davis	NYT_ENG_20100918.0020:2850-2868	0.767290331121
CS14_ENG_002	gpe:births_in_city	test7	NYT_ENG_20100918.0020:3009-3069	Donald Walter Davis	NYT_ENG_20100918.0020:3009-3027	0.914825353883
CS14_ENG_002	gpe:births_in_city	test7	NYT_ENG_20100918.0020:3009-3027,NYT_ENG_20100918.0020:3009-3069,NYT_ENG_20100918.0020:3059-3069	Donald Walter Davis	NYT_ENG_20100918.0020:3009-3027	0.375514178869
CS14_ENG_002	gpe:births_in_city	test7	NYT_ENG_20100730.0177:1308-1369	John David Alexander	NYT_ENG_20100730.0177:1308-1327	0.201790608898
CS14_ENG_002	gpe:births_in_city	test7	NYT_ENG_20100730.0177:1308-1407	John David Alexander	NYT_ENG_20100730.0177:1308-1327	0.342194569887
CS14_ENG_002	gpe:births_in_city	test7	NYT_ENG_20100730.0177:1308-1392	John David Alexander	NYT_ENG_20100730.0177:1308-1327	0.426883013697
CS14_ENG_002	gpe:births_in_city	test7	NYT_ENG_20100730.0177:1308-1407	John David Alexander	NYT_ENG_20100730.0177:1308-1327	0.0661784509715
CS14_ENG_002	gpe:births_in_city	test7	XIN_ENG_20101006.0347:2970-3012	Richard F. Heck	XIN_ENG_20101006.0347:265-279	0.947634307237
CS14_ENG_002	gpe:births_in_city	test7	NYT_ENG_20100119.0121:5256-5288	Robert Brown Parker	NYT_ENG_20100119.0121:4834-4852	0.874187057344
CS14_ENG_002	gpe:births_in_city	test7	WPB_ENG_20100119.0076:3017-3134	Robert Brown Parker	WPB_ENG_20100119.0076:3017-3035	0.87364584541
CS14_ENG_003	per:other_family	test7	NYT_ENG_20101103.0024:793-802,NYT_ENG_20101103.0052:902-911	George Hickenlooper	NYT_ENG_20101103.0052:924-942	0.31315831242
CS14_ENG_004	org:subsidiaries	test7	NYT_ENG_20090922.0170:4478-4625	eInk	NYT_ENG_20090922.0170:4550-4553	0.427683275478
CS14_ENG_004	org:subsidiaries	test7	XIN_ENG_20100107.0273:1787-1864	Hanvon	XIN_ENG_20100107.0273:1787-1792	0.36702667828
CS14_ENG_005	org:employees_or_members	test7	CNA_ENG_20101006.0023:183-214,CNA_ENG_20101006.0023:183-227	Gen Nakatani	CNA_ENG_20101006.0023:216-227	0.635475925599
CS14_ENG_005	org:employees_or_members	test7	XIN_ENG_20090925.0103:2490-2523	Taro Kono	XIN_ENG_20090925.0103:372-380	0.460613325779
CS14_ENG_006	org:top_members_employees	test7	NYT_ENG_20091203.0060:532-679	Chad Smith	NYT_ENG_20091203.0060:601-610	0.585934550403
CS14_ENG_006	org:top_members_employees	test7	APW_ENG_20090804.1088:187-332,APW_ENG_20090804.1088:334-338	Christian McBride	APW_ENG_20090804.1088:253-269	0.678493683275
CS14_ENG_006	org:top_members_employees	test7	LTW_ENG_20090717.0078:4657-4801	Deborah Borda	LTW_ENG_20090717.0078:4745-4757	0.918629030294
CS14_ENG_006	org:top_members_employees	test7	APW_ENG_20090626.0140:1006-1154	Dudamel	APW_ENG_20090626.0140:1077-1083	0.0183081752594
CS14_ENG_006	org:top_members_employees	test7	APW_ENG_20090626.0140:946-1027	Dudamel	APW_ENG_20090626.0140:946-952	0.61269972109
CS14_ENG_006	org:top_members_employees	test7	LTW_ENG_20091119.0253:1198-1312	Ed Yim	LTW_ENG_20091119.0253:1236-1241	0.327693816819
CS14_ENG_006	org:top_members_employees	test7	LTW_ENG_20091209.0133:2320-2401	Ernest Fleischmann	LTW_ENG_20091209.0133:2320-2337	0.446491933343
CS14_ENG_006	org:top_members_employees	test7	NYT_ENG_20100615.0171:139-221	Ernest Fleischmann	NYT_ENG_20100615.0171:139-156	0.667498290661
CS14_ENG_006	org:top_members_employees	test7	APW_ENG_20091001.0339:195-343,APW_ENG_20091001.0339:345-409	Gustavo Dudamel	APW_ENG_20091001.0339:195-209	0.368920442425
CS14_ENG_006	org:top_members_employees	test7	LTW_ENG_20091224.0019:1716-1786	Gustavo Dudamel	LTW_ENG_20091224.0019:1716-1730	0.778091103573
CS14_ENG_006	org:top_members_employees	test7	NYT_ENG_20090725.0028:3954-4071	Gustavo Dudamel	NYT_ENG_20090725.0028:3987-4001	0.693245321291
CS14_ENG_006	org:top_members_employees	test7	APW_ENG_20090804.1088:210-338	Herbie Hancock	APW_ENG_20090804.1088:58-71	0.531163606675
CS14_ENG_007	per:top_member_employee_of	test7	WPB_ENG_20101124.0071:299-400	Berlin Philharmonic	WPB_ENG_20101124.0071:364-382	0.420804888794
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20101013.0051:3214-3278,WPB_ENG_20101013.0051:3238-3278	Adam Levitin	WPB_ENG_20101013.0051:3214-3225	0.606627510431
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20101013.0051:3146-3293	Adam Levitin	WPB_ENG_20101013.0051:3214-3225	0.888332777238
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-106346-8892782:449-542	Adriane Fugh-Berman	eng-NG-31-106346-8892782:449-467	0.316110577642
