@relation jaccard_2014

@attribute conf_1 numeric
@attribute prov numeric
@attribute num_prov numeric
@attribute jaccard numeric
@attribute num_offset numeric
@attribute rel {per:cities_of_residence,per:employee_or_member_of,per:age,org:date_founded,per:schools_attended,org:alternate_names,org:top_members_employees,org:member_of,org:shareholders,org:parents,org:subsidiaries,per:siblings,per:spouse,per:title,per:countries_of_residence,per:country_of_birth,per:alternate_names,per:parents,org:founded_by,org:country_of_headquarters,org:city_of_headquarters,org:date_dissolved,per:statesorprovinces_of_residence,per:stateorprovince_of_death,per:city_of_death,per:city_of_birth,per:stateorprovince_of_birth,org:members,per:children,per:cause_of_death,org:stateorprovince_of_headquarters,per:charges,org:website,per:religion,per:country_of_death,per:other_family,per:date_of_death,org:number_of_employees_members,per:date_of_birth,per:origin,org:political_religious_affiliation}
@attribute target {w,c}

@data
0.198,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.1207,0.0,0.0,0.0,0.0,org:parents,w
0.2714,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.4411,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.952,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.4781,0.0,0.0,0.0,0.0,per:children,c
1.0,0.0,0.0,0.0,0.0,org:top_members_employees,c
0.3478,0.0,0.0,0.0,0.0,per:employee_or_member_of,w
1.0,0.0,0.0,0.0,0.0,org:top_members_employees,c
0.0251,0.0,0.0,0.0,0.0,org:top_members_employees,w
1.0,0.0,0.0,0.0,0.0,per:spouse,w
0.0567,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.4892,0.0,0.0,0.0,0.0,org:top_members_employees,c
1.0,0.0,0.0,0.0,0.0,per:children,c
0.4394,0.0,0.0,0.0,0.0,per:children,c
0.5987,0.0,0.0,0.0,0.0,per:employee_or_member_of,w
1.0,0.0,0.0,0.0,0.0,per:employee_or_member_of,c
0.0248,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.6172,0.0,0.0,0.0,0.0,org:parents,c
0.2641,0.0,0.0,0.0,0.0,per:employee_or_member_of,c
0.2538,0.0,0.0,0.0,0.0,org:parents,w
0.2333,0.0,0.0,0.0,0.0,per:employee_or_member_of,w
0.1096,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.1463,0.0,0.0,0.0,0.0,org:founded_by,w
0.688,0.0,0.0,0.0,0.0,per:children,c
0.3119,0.0,0.0,0.0,0.0,per:children,c
0.2078,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.171,0.0,0.0,0.0,0.0,per:employee_or_member_of,w
0.2,0.0,0.0,0.0,0.0,per:siblings,w
0.0628,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.3082,0.0,0.0,0.0,0.0,org:top_members_employees,c
0.4508,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.6396,0.0,0.0,0.0,0.0,org:parents,w
0.6851,0.0,0.0,0.0,0.0,per:employee_or_member_of,w
1.0,0.0,0.0,0.0,0.0,org:city_of_headquarters,c
0.9887,0.0,0.0,0.0,0.0,org:founded_by,c
0.4937,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.3694,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.9182,0.0,0.0,0.0,0.0,org:subsidiaries,c
0.4687,0.0,0.0,0.0,0.0,per:children,w
