@relation jaccard_2014

@attribute conf_1 numeric
@attribute conf_2 numeric
@attribute conf_3 numeric
@attribute conf_4 numeric
@attribute conf_5 numeric
@attribute conf_6 numeric
@attribute conf_7 numeric
@attribute conf_8 numeric
@attribute conf_9 numeric
@attribute conf_10 numeric
@attribute prov numeric
@attribute num_prov numeric
@attribute jaccard numeric
@attribute num_offset numeric
@attribute rel {per:title,per:spouse,per:stateorprovince_of_death,org:parents,org:members,per:date_of_death,per:cause_of_death,per:city_of_birth,org:top_members_employees,org:city_of_headquarters,org:alternate_names,per:date_of_birth,per:parents,per:cities_of_residence,per:children,org:shareholders,org:political_religious_affiliation,per:other_family,per:origin,per:countries_of_residence,per:age,org:member_of,org:date_dissolved,per:city_of_death,org:date_founded,org:subsidiaries,per:employee_or_member_of,per:schools_attended,per:charges,per:country_of_birth,org:stateorprovince_of_headquarters,per:religion,per:statesorprovinces_of_residence,per:stateorprovince_of_birth,per:alternate_names,org:founded_by,org:website,per:siblings,per:country_of_death,org:number_of_employees_members,org:country_of_headquarters}
@attribute target {w,c}

@data
0,0,0.5,0,0,0,0,0,0,0,0.666667,2,0,0,per:title,w
0,0,0.5967,0,0,0,0,0,0,0,0,0,0,0,per:spouse,w
0,0,0.9919,0,0,0,0,0,0,0,0,0,0,0,per:stateorprovince_of_death,w
0,0,0.9853,0,0,0,0,0,0,0,0,0,0,0,org:members,w
0,0,1,0,0,0,0,0,0,0,0,0,0,0,per:date_of_death,w
0,0,1,0,0,0,0,0,0,0,1,1,0,0,per:city_of_birth,w
0,0,0.9278,0,0,0,0,0,0,0,0,0,0,0,org:city_of_headquarters,w
0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,per:title,w
0,0,0.9795,0,0,0,0,0,0,0.05,0,0,0,0,per:title,c
0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,org:alternate_names,w
0,0,0.0561,0,1,0.883,0,0,0,0.4,0.333333,2,0.958333,2,per:title,c
0,0,0.5,0,0,0,0,0,0,0,1,2,0,0,per:cities_of_residence,w
0,0,1,0,0,0,0,0,0,0,1,2,0,0,per:children,w
0,0,1,0,0,0,0,0,0,0,0,0,0,0,per:date_of_death,w
0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,per:title,w
0,0,0.95,0,0,0,0,0,0,0,1,5,0,0,per:cities_of_residence,w
0,0,0.5,0,0,0,0,0,0,0,1,2,0,0,per:spouse,w
0,0,0.7013,0,0,0,0,0,0,0,0,0,0,0,per:stateorprovince_of_death,w
0,0,0.5,0,0,0,0,0,0,0,0.333333,1,0,0,org:top_members_employees,w
0,0,0.3255,0,0,0,0,0,0,0,1,3,0,0,org:shareholders,w
0,0,0.8775,0,0,0,0,0,0,0,0,0,0,0,org:alternate_names,w
0,0,1,0,0,0,0,0,0,0,1,4,0,0,per:title,w
0,0,1,0,0,0,0,0,0,0,0,0,0,0,per:title,w
0,0,1,0,0,0,0,0,0,0,1,5,0,0,org:political_religious_affiliation,c
0,0,1,0,0,0,0,0,0,0,1,2,0,0,per:other_family,w
0,0,0.8443,0,1,0,0,0,1,0,0,0,0,0,per:spouse,w
0,0,0.592711,0,0,0,0,0,0,0,0,0,0,0,per:origin,w
0,0,0.5,0,0,0,0,0,0,0,0.666667,2,0,0,per:spouse,w
0,0,0.781,0,0,0,0,0,0,0,0,0,0,0,per:city_of_birth,w
0,0,1,0,0,0,0,0,0,0,1,2,0,0,org:members,w
0,0,0.945,1,0,0,0,0,0,1,0.555556,5,0,0,org:alternate_names,c
0,0,0.958,1,0.5,0,0,0,0.95,0,1,14,0.5,3,per:age,c
0,0,0.999,1,0.5,0,0,0,1,0,0.142857,2,0,0,per:age,c
0,0,1,0,0,0,0,0,0,0,1,2,0,0,org:members,w
0,0,1,0,0,0,0,0,0,0,1,4,0,0,org:alternate_names,w
0,0,1,0,0,0,0,0,0,0,1,4,0,0,org:members,w
0.405589,0,1,0,0,0,0,0,0,0,1,2,0,0,per:city_of_death,w
0,0,0.8614,0,0,0,0,0.9969,0,0,1,1,1,1,org:top_members_employees,w
0,0,1,0,0,0,0,0,0,0,1,4,0,0,org:date_founded,w
0,0,0.404617,0,0,0,0,0,0,0,0,0,0,0,org:subsidiaries,w
0,0,0.5,0,0,0,0,0,0,0,1,2,0,0,per:title,w
0,0,0.996,0,0,0,0,0,0,0,0,0,0,0,per:origin,w
0.400865,0,0.5,0,0,0,0,0,0,0,1,2,0,0,per:employee_or_member_of,w
0,0,0.5,0,0,0,0,0,0,0,1,2,0,0,per:employee_or_member_of,w
0,0,0.5,0,0,0,0,0,0,0,1,2,0,0,per:title,w
0,0,0.5,0,0,0,0,0,0,0,1,2,0,0,per:title,w
0,0,0.998,0,0,0,0,0,1,0,1,10,0.97619,1,per:schools_attended,c
0,0,0.5,0,0,0,0,0,0,0,1,2,0,0,per:employee_or_member_of,w
0,0,0.7275,0,0,0.903,0,0,0,0.1,0.333333,1,0,0,per:parents,c
0,0,1,0,0,0,0,0,0,0,1,3,0,0,per:country_of_birth,w
0,0,1,0,0,0,0,0,0,0,1,2,0,0,org:subsidiaries,w
0,0,0.5,0,0,0,0,0,0,0,0.5,2,0,0,per:employee_or_member_of,c
0,0,1,0,0,0,0,0,0,0,1,2,0,0,org:top_members_employees,w
0,0,0.7259,0,0,0,0,0,0,0,0,0,0,0,per:statesorprovinces_of_residence,w
0,0,1,0,0,0,0,0.9795,0,0,1,1,0,0,per:title,w
0,0,0.9893,0,0,0,0,0,0,0,0,0,0,0,per:countries_of_residence,w
0,0,1,0,0,0,0,0,0,0,1,3,0,0,per:country_of_birth,w
0,0,0.974,1,0.5,0,0,0,0.95,0,0.642857,9,0.5,2,per:age,c
0,0,0.0009,0,0,0,0,0,0,0,1,1,0,0,per:other_family,w
0,0,0.6689,0,0,0,0,0,0,0,0,0,0,0,per:cities_of_residence,w
0,0,0.5,0,0,0,0,0,0,0,1,2,0,0,per:title,w
0,0,0.0171,0,0,0,0,0,0,0,1,1,0,0,org:parents,w
0,0,0.2324,0,0,0,0,0.9612,0,0,0.5,1,0,0,per:city_of_birth,w
0,0,0.359,0,0,0,0,0,0,0.13,1,1,1,1,per:title,w
0,0,1,0,0,0,0,0,0,0,1,4,0,0,org:date_founded,w
0,0,1,0,0,0,0,0,0,0,1,4,0,0,org:date_founded,w
0,0,0.5,0,0,0,0,0,0,0,1,2,0,0,per:employee_or_member_of,w
0,0,0.5775,0,0,0,0,0,0,0,1,1,0,0,org:stateorprovince_of_headquarters,w
0,0,1,0,0,0,0,0,0,0.25,1,4,0,0,per:title,w
0,0,0.917,0,0,0,0,0,0,0,1,2,0,0,per:title,w
0.9,0.888889,0.5772,1,0,0.961,0,0.943,1,0,0.428571,6,1,2,org:top_members_employees,w
0,0,0.4539,0,0,0,0,0,0,0,1,4,0,0,org:parents,w
0,0,0.8093,0,0,0,0,0,0,0,0,0,0,0,per:alternate_names,w
0,0,1,0,0,0,0,0,0,0,1,2,0,0,org:founded_by,w
0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,org:alternate_names,w
0,0,1,0,0,0,0,0,0,0,1,2,0,0,org:parents,w
0,0,0.1864,0,0,0,0,0,0,0,1,1,0,0,per:title,w
0,0,0.0533,0,0,0.939,0,0,0,0,1,5,0.8,1,per:title,w
0,0,0.8212,0,0,0,0,0,0,0,1,2,0,0,per:title,w
0,0,1,0,0,0,0,0,0,1,1,4,1,1,per:alternate_names,w
0,0,1,0,0,0,0,0,0,0,1,4,0,0,org:website,w
0,0,0.9133,0,0,0,0,0,0,0,0,0,0,0,org:member_of,w
0,0.5,0.7089,0,0.5,0.982,0.874,0.9142,1,0,0.076923,1,1,1,per:employee_or_member_of,c
0,0,1,1,0,0.874,0,0.9677,1,0,0.071429,1,0,0,per:age,c
0,0,1,0,0,0,0,0,0,0,0.5,2,0,0,per:parents,c
0,0,1,0,0,0,0,0,0,0,1,5,0,0,per:charges,w
0,0.8,1,1,0,0.948,0,0,1,0.1,0.071429,1,0,0,per:title,c
0,0,0.994,0,0,0,0,0,0,0,1,2,0,0,per:title,w
0,0,0.8168,0,0,0,0,0,0,0,0,0,0,0,per:siblings,w
0,0,1,0,0,0,0,0,0,0,0.8,4,0,0,per:title,w
0,0,1,0,0,0,0,0,0,0,0.25,1,0,0,per:city_of_death,w
0,0,0.7307,0,0.5,0,0,0,0,0,1,2,0.010101,1,per:countries_of_residence,w
0,0,1,0,0,0,0,0,0,0,0.571429,4,0,0,per:title,w
0,0,1,1,0,0,0,0,0,0,0.555556,5,0,0,org:alternate_names,w
0,0,0.3333,0,0,0,0,0,0,0,1,2,0,0,org:date_founded,w
0,0,1,0,0,0,0,0,0,0,1,4,0,0,org:date_founded,w
0,0,1,0,0,0,0,0,0,0,1,8,0,0,per:employee_or_member_of,c
0,0,1,0,0,0,0,0,0,0,1,5,0,0,per:stateorprovince_of_death,w
